movie_id,person_id,character,created_at
00b7dbb0-6cf9-4e57-b282-677f3e8cd253,0bfba955-1d73-491a-b55a-279ebe42d3b0,Dr. Leonard 'Bones' McCoy,2026-01-25 23:22:47.478881+00
00b7dbb0-6cf9-4e57-b282-677f3e8cd253,1b033d59-d5bb-440f-8e0e-583b007058b7,Lieutenant Commander Montgomery 'Scotty' Scott,2026-01-25 23:22:47.478881+00
00b7dbb0-6cf9-4e57-b282-677f3e8cd253,2134033e-f246-49b4-913a-192a78582cca,Ambassador Spock,2026-01-25 23:22:47.478881+00
00b7dbb0-6cf9-4e57-b282-677f3e8cd253,31ea7269-0df9-42f2-a2eb-99a8fe5fadf8,Captain Nero,2026-01-25 23:22:47.478881+00
00b7dbb0-6cf9-4e57-b282-677f3e8cd253,348538fb-3967-489b-8e9a-8a42c5997526,Ayel,2026-01-25 23:22:47.478881+00
00b7dbb0-6cf9-4e57-b282-677f3e8cd253,3be7e916-a803-4e2c-a54e-9e875cad1773,Commander Spock,2026-01-25 23:22:47.478881+00
00b7dbb0-6cf9-4e57-b282-677f3e8cd253,7470016b-a4d0-4774-94b1-d7a76e1901eb,Ensign Pavel Chekov,2026-01-25 23:22:47.478881+00
00b7dbb0-6cf9-4e57-b282-677f3e8cd253,7f75a10e-d09f-4a99-9b30-2a27a0942d21,Tactical Officer,2026-01-25 23:22:47.478881+00
00b7dbb0-6cf9-4e57-b282-677f3e8cd253,8bba6b5d-47a0-47d1-9f92-abebb89570bd,Officer Pitts,2026-01-25 23:22:47.478881+00
00b7dbb0-6cf9-4e57-b282-677f3e8cd253,932dc5e2-4dc7-4e6d-a135-1e2a19b93fa4,Commander George Kirk,2026-01-25 23:22:47.478881+00
00b7dbb0-6cf9-4e57-b282-677f3e8cd253,a51b4b43-9d7a-482b-bee9-c9efa8e56917,Winona Kirk,2026-01-25 23:22:47.478881+00
00b7dbb0-6cf9-4e57-b282-677f3e8cd253,a9c00127-6572-4e36-83ce-f64ceb603655,Lieutenant Nyota Uhura,2026-01-25 23:22:47.478881+00
00b7dbb0-6cf9-4e57-b282-677f3e8cd253,ae3fc47d-c393-435d-9389-1c7aef92002c,Captain Robau,2026-01-25 23:22:47.478881+00
00b7dbb0-6cf9-4e57-b282-677f3e8cd253,bceca446-7bd4-45e6-a8be-6776ab005aaa,Captain Christopher Pike,2026-01-25 23:22:47.478881+00
00b7dbb0-6cf9-4e57-b282-677f3e8cd253,c1ed093e-4363-4b38-a17c-6c4dee968eee,Sarek,2026-01-25 23:22:47.478881+00
00b7dbb0-6cf9-4e57-b282-677f3e8cd253,c9934212-880b-4766-8a03-a153558d6cac,Amanda Grayson,2026-01-25 23:22:47.478881+00
00b7dbb0-6cf9-4e57-b282-677f3e8cd253,e1145080-1374-458c-881f-def1074e76fd,Lieutenant Hikaru Sulu,2026-01-25 23:22:47.478881+00
00b7dbb0-6cf9-4e57-b282-677f3e8cd253,f951404c-88bd-4446-9e4b-97b3e6babca9,Cadet James T. Kirk,2026-01-25 23:22:47.478881+00
00b7dbb0-6cf9-4e57-b282-677f3e8cd253,fc7645ce-de39-4d7b-bfbd-c50334b9ad95,Galia,2026-01-25 23:22:47.478881+00
00b7dbb0-6cf9-4e57-b282-677f3e8cd253,fd515384-bfa1-4cea-a777-7be4b2ab1628,Kelvin Crew Member,2026-01-25 23:22:47.478881+00
01be80c1-03c8-415d-a8b6-7b7d9d045047,05d28cb5-33a8-4199-b81f-af35278fd543,Ada,2026-01-25 23:22:47.478881+00
01be80c1-03c8-415d-a8b6-7b7d9d045047,0c291f10-f559-49ca-af25-7dbfa02ba8cf,Lyle Russel,2026-01-25 23:22:47.478881+00
01be80c1-03c8-415d-a8b6-7b7d9d045047,1730f7aa-29c3-48fe-b6e7-2b8461abd173,Mrs. Ovadia,2026-01-25 23:22:47.478881+00
