id,created_at,tmdb_id,imdb_id,title,release_year,runtime_minutes,mpa_rating,is_series,poster_path
00b7dbb0-6cf9-4e57-b282-677f3e8cd253,2026-01-19 19:50:47.692051+00,13475,tt0796366,Star Trek,2009,127,PG-13,false,/hN2ZtF3Uw6mhIHZiqL0SKzELtKn.jpg
01be80c1-03c8-415d-a8b6-7b7d9d045047,2026-01-17 23:20:44.521176+00,641,tt0180093,Requiem for a Dream,2000,102,NR,false,/nOd6vjEmzCT0k4VYqsA2hwyi87C.jpg
06a198e8-39fa-4b4c-a96b-ba2fbc71c78e,2026-01-17 22:43:24.075163+00,181886,tt2316411,Enemy,2014,91,R,false,/vf40tyDRKZsBmaLsYeopzfFLzLx.jpg
088e116f-839e-41d1-8305-110ca0059eb5,2026-01-18 01:16:50.182961+00,956,tt0317919,Mission: Impossible III,2006,126,PG-13,false,/vKGYCpmQyV9uHybWDzXuII8Los5.jpg
0975c319-f728-4597-ac7a-a73c9e82bebf,2026-01-18 00:39:56.085316+00,10191,tt0892769,How to Train Your Dragon,2010,98,PG,false,/ygGmAO60t8GyqUo9xYeYxSZAR3b.jpg
0c9a8a0c-a4bd-4aa6-b79c-deb406a2f80f,2026-01-17 23:24:13.020503+00,7305,tt0106246,Alive,1993,127,R,false,/uQACcCZqd7WCTRin9xRIW5gr1bd.jpg
0d06b4e2-1520-4a4f-9190-8a80295d9722,2026-01-17 22:33:33.691749+00,146233,tt1392214,Prisoners,2013,153,R,false,/jsS3a3ep2KyBVmmiwaz3LvK49b1.jpg
0da00b7c-696c-4151-81e1-99e1730ce913,2026-01-19 19:57:51.654934+00,1858,tt0418279,Transformers,2007,144,PG-13,false,/4N4sipl8T72tNE4earcctQa2Kw2.jpg
0f7ef0be-975a-4229-ba13-a0c779769467,2026-01-17 23:00:21.329167+00,10494,tt0156887,Perfect Blue,1998,82,R,false,/6WTiOCfDPP8XV4jqfloiVWf7KHq.jpg
0fc4294e-a739-432e-8e4d-5b11921b9af4,2026-01-19 20:45:22.008625+00,177572,tt2245084,Big Hero 6,2014,102,PG,false,/2mxS4wUimwlLmI1xp6QW6NSU361.jpg
0fde2bf0-140f-4e1f-b328-369c5e6698da,2026-02-03 07:02:45.619252+00,87502,tt1907668,Flight,2012,138,R,false,/tFsHDNclXoCKy2xMxskzXXMaFJS.jpg
102f5c16-fe8f-4c45-a976-98fed55eb976,2026-01-17 21:16:52.175224+00,1895,tt0121766,Star Wars: Episode III - Revenge of the Sith,2005,140,PG-13,false,/xfSAoBEm9MNBjmlNcDYLvLSMlnq.jpg
11e72916-1821-4132-af14-05f62f48f61b,2026-02-03 06:55:09.11718+00,13466,tt0132477,October Sky,1999,108,PG,false,/1weUnrWqESWoLzMgSs64jd4GEwY.jpg
13167567-f10a-4b1d-a5de-17b2812e400c,2026-01-19 21:01:23.643882+00,51876,tt1219289,Limitless,2011,106,PG-13,false,/kCokPP4WCQRrrAuZ7FcpIyHr8b2.jpg
